"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"PhoenixContact_1935776_2-Pin-Connector_32A_P5mm";1;"Battery";;;
2;"C1";"CP_Radial_D18.0mm_P7.50mm";1;"2200uF";;;
3;"C2,C11";"C_1206";2;"1uF 50V";;;
4;"C3,C4,C13,C14";"C_1206";4;"0.1uF 25V";;;
5;"C5,C6,C7";"C_0805";3;"10nF";;;
6;"C8";"C_1206";1;"47nF 250V";;;
7;"C9";"CP_Radial_D10.0mm_P5.00mm";1;"33uF 100V";;;
8;"C10";"C_1206";1;"0.1uF 100V";;;
9;"C12";"CP_Elec_6.6x6.6mm";1;"4.7uF 80V";;;
10;"C15";"CP_Tantalum_Case-3528";1;"15uF 25V";;;
11;"D1";"D_SOD-123F";1;"570mV, 1A";;;
12;"J1";"PhoenixContact_1985027_8-Pin-Connector_8A_P3.5mm";1;"Conn_01x08";;;
13;"J2";"PhoenixContact_1984963_2-Pin-Connector_8A_P3.5mm";1;"Conn_01x02";;;
14;"J3,J4";"Pin_Header_Straight_2x03_Pitch2.54mm";2;"Conn_02x03_Odd_Even";;;
15;"J5";"Pin_Header_Straight_2x02_Pitch2.54mm";1;"Conn_02x02_Odd_Even";;;
16;"L1";"CLF10060NIT-221M-D";1;"220uH";;;
17;"M1";"PhoenixContact_1991309_3-Pin-Connector_32A_P5mm";1;"BLDC_Motor";;;
18;"R1,R2,R8,R11,R12";"R_1206";5;"10K";;;
19;"R3,R7";"R_1206";2;"18K";;;
20;"R4,R6";"R_1206";2;"75K";;;
21;"R5,R9,R13";"R_1206";3;"1M";;;
22;"R10";"R_1206";1;"47K";;;
23;"R14";"R_1206";1;"100K";;;
24;"R15";"R_0805";1;"57.6K";;;
25;"R16";"R_0805";1;"10.4K";;;
26;"R17,R18,R19";"R_2512";3;"2milli";;;
27;"U1";"SOT-23-5";1;"LM26CIM5-VHA";;;
28;"U2";"TI-RGZ-QFN-48-1EP_7x7mm_Pitch0.5mm";1;"DRV8323RH";;;
29;"U3,U4,U5,U6,U7,U8";"TO-263-2";6;"IPB029N06N";;;
30;"U9";"PhoenixContact_1984992_5-Pin-Connector_8A_P3.5mm";1;"BLDC_Hall_Sensor";;;
