Id,Designator,Package,Quantity,Designation,Supplier and ref,Column1,_1
1,U2,WSON-12-1EP_3x3mm_Pitch0.4mm,1,LM3668,,,
2,BT1,1S_150mAH_LiPo,1,1S_LiPo,,,
3,"C1,C2,C5,C6,C7,C8,C9,C10,C11",C_1206,9,0.1uF 25V,,,
4,C3,C_1206,1,10uF 35V,,,
5,J1,Pin_Header_Straight_2x03_Pitch2.54mm,1,Conn_02x03_Odd_Even,,,
6,J2,Pin_Header_Straight_1x06_Pitch2.54mm,1,Flex_Sensor_Inputs,,,
7,L1,L_Taiyo-Yuden_NR-40xx,1,2.2uH,,,
8,"R1,R2,R3,R4,R5,R6,R7,R8",R_1206,8,178,,,
9,R9,R_1206,1,10K,,,
10,"R10,R11,R12",R_1206,3,47K,,,
11,SW1,SPDT_TH_4.2x11.8mm,1,SW_SPDT,,,
12,SW2,MOM_PushButton_2Pins_3.5x6mm,1,SW_Push,,,
13,U3,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA328PB-AU,,,
14,U4,Pin_Header_Straight_1x06_Pitch2.54mm,1,HC-05_BluetoothModule,,,
15,"D1,D2",SML-LX0404SIUPGUSB_RGB_LED,2,LED_ARGB,,,
16,U1,SOT-23-3,1,TLV809-DBV,,,
17,C4,C_0805,1,22uF 25V,,,
